perf_metric_diff,feat
600.4023424225284,s__GGB9634_SGB15093
1632.4877032493766,s__Clostridium_leptum
879.9390889205373,s__Lentihominibacter_faecis
3646.558198501683,s__Alistipes_dispar
1958.2303908766487,s__Alistipes_finegoldii
515.1397037878171,s__Bacteroides_salyersiae
760.3020033982683,s__Lachnospiraceae_bacterium_OM04_12BH
3159.6799982887687,s__Streptococcus_gordonii
774.0021196590105,s__GGB9759_SGB15370
2521.4316248260357,s__Clostridium_sp_AT4
